id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,constellation,proper,ra,dec,dist_ly,x0,y0,z0,dist_src,mag,absmag,spect,ci,
965374,825-1543-1,,45040,45170,79096,3650,Gl 337A,Pi-1,Cnc,,9.20487511,14.99603732,66.422475,-14.634,13.143,5.269,HIP,6.49,4.946,K0V,0.731,
339313,7589-1693-1,4815660547961306112,21717,21770,29875,1502,Gl 174.1A,Alp,Cae,,4.67603132,-41.86375152,66.4873888,5.157,14.277,-13.602,G_R3,4.44,2.894,F1 V,0.342,
721392,3401-1647-1,976893923544104576,36336,36439,58855,2849,GJ 9234,,Lyn,,7.49887655,49.6724587,66.5516502,-5.049,12.2,15.554,G_R3,5.35,3.802,F6V,0.47,
2310770,9322-1132-1,,105371,105712,203244,,GJ 1262,,Pav,,21.41128858,-68.22782677,66.6123234,5.9,-4.749,-18.964,HIP,6.98,5.43,G5 V,0.723,
310411,8075-1796-1,4781833626056162688,19843,19893,27290,1338,Gl 167.1,Gam,Dor,,4.26710741,-51.48664753,66.64037660000001,5.575,11.434,-15.985,G_R3,4.26,2.709,F0 V,0.312,
333847,1266-1416-1,,21368,21421,29139,1457,Gl 171.1A,Alp,Tau,Aldebaran,4.5986668,16.50976164,66.6530984,7.027,18.288,5.807,HIP,0.87,-0.682,K5III,1.538,
2495963,9126-1745-1,6489909443564308224,114586,114948,219482,8843,GJ 1282,,Tuc,,23.28269287,-62.00118278,66.683761199999992,9.428,-1.792,-18.05,G_R3,5.64,4.087,F8 V,0.521,
1327828,7774-1925-1,6141742283401003264,64202,64408,114613,4979,Gl 501.2,,Cen,,13.20088475,-37.80302414,66.7496536,-15.376,-5,-12.543,G_R3,4.85,3.295,G3 V,0.693,
284740,1249-1065-1,43499295632961152,18222,18267,24496,,GJ 3255,,Tau,,3.90778747,16.61605054,66.7770544,10.215,16.747,5.854,G_R3,6.81,5.254,G0,0.719,
561907,5956-2621-1,2939555954755196160,31512,31592,47205,2429,Gl 239.1,Nu-2,CMa,,6.61139948,-19.25587721,66.7770544,-3.08,19.079,-6.751,G_R3,3.95,2.394,K1 III (+ M),1.037,
961971,4141-1496-1,1068982214258617216,44910,45038,78154,3616,Gl 335A,Sig-2,UMa,,9.17320497,67.13400723,66.9261278,-5.887,5.376,18.905,G_R3,4.8,3.239,F6IV,0.489,
